CLAVE,NOMBRE
1515,MICROBIOLOGIA EXPERIMENTAL
1630,GENETICA Y BIOLOGIA MOLECULAR
110,QUÍMICA FARMACÉUTICA
1905,ESTANCIA ESTUDIANTIL
220,INGENIERIA DE SISTEMAS II
181,FLOTACION
77,FISICOQUIMICA DE MEZCLAS LIQUIDAS
76,FISICOQUIMICA DE SISTEMAS MOLECULARE
86,OPTIMIZACION Y PROCESOS D SINT II
145,CATALISIS COMPUESTOS METAL FASE HOMO
277,HISTORIA Y FILOSOFIA DE LA QUIMICA
1090,CIENCIA Y ARTE II
1112,CIENCIA Y SOCIEDAD
1089,CIENCIA Y ARTE I
94,TOPICOS SELECTOS DE LA EDUCACION QUI
78,HISTORIA Y FILOSOFIA DE LA CIENCIA
278,TERMODINAMICA APLICADA EN PROCESOS
