CLAVE,NOMBRE
1035,INTROD.A LA GEST.TEC. QUIM. II
1036,RECURSOS NATURALES
1037,EQUILIBRIO DE ECOSISTEMAS
1208,BIOLOGIA CELULAR
1306,FENOMENOS DE TRANSPORTE
1325,ELEMENTOS DE CIENCIA DE MATS.
1525,TRANSFORMACIONES DE FASE
1621,COMPORTAMIENTO MECANICO METALE
1625,TRATAMIENTOS TERMICOS
1626,HIDROMETALURGIA
1627,ELECTROQUIMICA
1720,CORROSION Y PROTECCION
1726,PIROMETALURGIA
1729,PROCESADO ELECTROMETALURGICO
1820,PROCESOS ALTERNOS MANUFACTURA
1346,QUIMICA ANALITICA I
1446,QUIMICA ANALITICA II
1516,ANALITICA I
1616,ANALITICA II
1256,QUIMICA ANALITICA I
1356,QUIMICA ANALITICA II
1501,BIOQUIMICA I
1601,BIOQUIMICA II
1648,BACTERIOLOGIA
1741,INMUNOLOGIA GENERAL
1745,GENETICA GENERAL
1846,ANALISIS DE MEDICAMENTOS
1848,TOXICOLOGIA
1946,CONTROL DE CALIDAD
1947,BIOFARMACIA
1070,TECNOLOGIA FARMACEUTICA III
1071,DESARROLLO FARMACEUTICO
1072,FARMACOGNOSIA
1073,DESARROLLO ANALITICO
1074,QUIMICA FARMACEUTICA
1060,PARASITOLOGIA
1061,MICOLOGIA
1062,VIROLOGIA
1063,HEMATOLOGIA
1064,ANALISIS CLINICOS II
1065,INMUNOLOGIA APLICADA
1588,MICROBIOLOGIA DE ALIMENTOS
1682,ANALISIS SENSORIAL
1782,CONTROL DE CALIDAD I
1788,ANALISIS DE ALIMENTOS
1787,PRODUCTOS CARNICOS
1883,NUTRICION I
1884,PRODUCTOS DE CEREALES Y LEG.
1886,PRODUCTOS LACTEOS
1888,BIOTECNOLOGIA
1427,TERMODINAMICA METALURGICA II
1327,TERMODINAMICA METALURGICA I
1786,PRODUCTOS VEGETALES
1387,EQUILIBRIO FISICOQUIMICO
1487,FISICOQUIMICA SUP.Y CINET.QUIM
1685,QUIMICA DE ALIMENTOS
1345,QUIMICA ORGANICA I
1347,EQUILIBRIO HETEROGENEO
1748,ANALISIS CLINICOS I
1305,QUIMICA ORGANICA I
1435,COMPUESTOS CON C. H. Y HALOGEN
1524,ANALISIS INSTRUMENTAL METALURG
1526,PROCESOS SEPARACION Y CONCENT.
1527,QUIMICA DE SOLUCIONES IONICAS
1535,COMPUESTOS CON C.H.O.N. Y S.
1920,PROYECTO
1821,FUNDICION
1826,PIROREFINACION
1425,FUNDAMENTOS METALURGIA FISICA
1103,CINEMATICA Y DINAMICA
1104,QUIMICA GENERAL
1213,ESTATICA
1207,TERMODINAMICA
1203,ELECTROMAGNETISMO
1232,ELECTROMAGNETISMO
1304,QUIMICA INORGANICA
1317,PROPIEDADES TERMODINAMICAS
1303,BALANCES DE MATERIA Y ENERGIA
1405,QUIMICA ORGANICA II
1445,QUIMICA ORGANICA II
1545,QUIMICA ORGANICA III
1645,QUIMICA ORGANICA IV
1403,FLUJO DE FLUIDOS
1417,EQUILIBRIO FISICO
1517,EQUILIBRIO QUIMICO
1513,TRANSFERENCIA DE CALOR
1611,ELECTROQUIMICA
1617,FENOMENOS DE SUPERFICIE
1613,PROCESOS DE SEPARACION I
1714,PROCESOS DE SEPARACION II
1717,CINETICA QUIMICA Y CATALISIS
1813,INGENIERIA DE REACTORES
1713,SIMULAC Y OPTIMIZ DE PROCESOS
1913,INGENIERIA DE PROYECTOS
1013,MATERIALES II
1012,MATERIALES I
1556,Q. ANALITICA INSTRUMENTAL I
1656,Q. ANALITICA INSTRUMENTAL II
1335,INTRODUC. A LA QUIM. ORGANICA
1432,ONDAS Y OPTICA
1437,PROPIEDADES FISICOQUIMICAS
1434,QUIMICA DEL ESTADO SOLIDO
1537,EQUILIBRIO FISICOQUIMICO
1534,QUIMICA INORGANICA COVALENTE
1637,EQUIL.EN INTER.Y CINETICA FISC
1634,QUIMICA DE COORDINACION
1635,COMPUESTOS CARBONILICOS
1738,BIOQUIMICA CELULAR
1737,CINETICA QUIMICA
1734,QUIMICA ORGANOMETALICA
1735,COMPUESTOS ORG. HETEROCICLIC.
1838,BIOQUIMICA METABOLICA
1830,QUIMICA EXPERIMENTAL APLIC.
1938,BIOSINTESIS MICROBIANA
1033,EL LAB. DE CONT. Y DES. ANALIT
1348,FISIOLOGIA
1447,FISICOQUIMICA FARMACEUTICA
1448,MICROBIOLOGIA GENERAL
1541,FARMACOLOGIA GENERAL
1548,MICROBIOLOGIA GENERAL II
1641,FARMACOLOGIA APLICADA
1647,TECNOLOGIA FARMACEUTICA I
1747,TECNOLOGIA FARMACEUTICA II
14,ANALISIS I
61,BIOESTADISTICA
62,BIOFARMACIA
63,BIOLOGIA CELULAR
122,COMPUTACION ELECT. Y PROG. I
125,CALCULO DIFERENCIAL E INTEGRAL
126,CONTROL DE CALIDAD
160,DIBUJO
