CLAVE,NOMBRE,CREDITOS,LABORATORIO,INICIO,VIGENCIA,DEPARTAMENTO,NOMBRE_COMPLETO,EQUIVALENCIA,NOMBRE_INGLES,PORCEN_CAL
1062,VIROLOGIA,7,L,20001,S,04030200,VIROLOGIA,0,VIROLOGY,57.10
1063,HEMATOLOGIA,9,L,20001,S,04030100,HEMATOLOGIA,0,HEMATOLOGY,66.70
1064,ANALISIS CLINICOS II,10,L,20001,S,04010200,ANALISIS CLINICOS II,0,CLINICAL ANALYSIS II,60.00
1065,INMUNOLOGIA APLICADA,10,L,20001,S,04030100,INMUNOLOGIA APLICADA,0,APPLIED INMUNOLOGY,60.00
1588,MICROBIOLOGIA DE ALIMENTOS,10,L,20001,S,04030200,MICROBIOLOGIA DE ALIMENTOS,0,FOODS MICROBIOLOGY,60.00
1682,ANALISIS SENSORIAL,6,L,20001,S,03030200,ANALISIS SENSORIAL,0,SENSORY ANALYSIS,67.70
1782,CONTROL DE CALIDAD I,8,L,20001,S,03030200,CONTROL DE CALIDAD I,0,QUALITY CONTROL I,75.00
1788,ANALISIS DE ALIMENTOS,10,L,20001,S,03030200,ANALISIS DE ALIMENTOS,0,FOOD ANALYSIS,60.00
1787,PRODUCTOS CARNICOS,9,L,20001,S,03030100,PRODUCTOS CARNICOS,0,MEAT PRODUCTS,67.70
1883,NUTRICION I,9,L,20001,S,03030200,NUTRICION I,0,NUTRITION I,67.70
1884,PRODUCTOS DE CEREALES Y LEG.,9,L,20001,S,03030100,PRODUCTOS DE CEREALES Y LEG.,0,CEREALS AND LEGUMINOUS PRODUCTS,67.70
1886,PRODUCTOS LACTEOS,9,L,20001,S,03030100,PRODUCTOS LACTEOS,0,DAIRY PRODUCTS,67.70
1888,BIOTECNOLOGIA,10,L,20001,S,03030200,BIOTECNOLOGIA,0,BIOTECHNOLOGY,80.00
1427,TERMODINAMICA METALURGICA II,12,T,20001,S,01010100,TERMODINAMICA METALURGICA II,0,METALLURGICAL THERMODYNAMICS II,100.00
1327,TERMODINAMICA METALURGICA I,12,L,20001,S,01010100,TERMODINAMICA METALURGICA I,0,METALLURGICAL THERMODYNAMICS I,50.00
1786,PRODUCTOS VEGETALES,9,L,20001,S,03030100,PRODUCTOS VEGETALES,0,VEGETABLES PRODUCTS,67.70
1387,EQUILIBRIO FISICOQUIMICO,11,L,20001,S,01010100,EQUILIBRIO FISICOQUIMICO,0,PHYSICOCHEMICAL EQUILIBRIUM,72.70
1487,FISICOQUIMICA SUP.Y CINET.QUIM,10,L,20001,S,01010200,FISICOQUIMICA SUP.Y CINET.QUIM,0,SURFACES PHYSICOCHEMICAL AND CHEMISTRY KINETICS,80.00
1685,QUIMICA DE ALIMENTOS,8,T,20001,S,03030200,QUIMICA DE ALIMENTOS,0,FOODS CHEMISTRY,100.00
1345,QUIMICA ORGANICA I,9,L,20001,S,02030100,QUIMICA ORGANICA I,0,ORGANIC CHEMISTRY I,60.00
1347,EQUILIBRIO HETEROGENEO,9,L,20001,S,01010100,EQUILIBRIO HETEROGENEO,0,HETEROGENEOUS EQUILIBRIUM,66.70
1748,ANALISIS CLINICOS I,10,L,20001,S,04010200,ANALISIS CLINICOS I,0,CLINICAL ANALYSIS,60.00
1305,QUIMICA ORGANICA I,9,L,20001,S,02030100,QUIMICA ORGANICA I,0,ORGANIC CHEMISTRY I,65.00
1435,COMPUESTOS CON C. H. Y HALOGEN,10,L,20001,S,02030100,COMPUESTOS CON C. H. Y HALOGEN,0,"COMPOUNDS OF CARBON, HYDROGEN AND HALOGENS",60.00
1524,ANALISIS INSTRUMENTAL METALURG,9,L,20001,S,02010300,ANALISIS INSTRUMENTAL METALURG,0,INSTRUMENTAL ANALYSIS IN METALLURGY,60.00
1526,PROCESOS SEPARACION Y CONCENT.,10,L,20001,S,03020100,PROCESOS SEPARACION Y CONCENT.,0,SEPARATION AND CONCENTRATION PROCESSES,60.00
1527,QUIMICA DE SOLUCIONES IONICAS,9,L,20001,S,01010200,QUIMICA DE SOLUCIONES IONICAS,0,CHEMISTRY OF IONIC SOLUTIONS,66.70
