IIDPLAZAEM,INUMEMP,INUMPLAZA,TICVEFUNC,TICVEPROG,SICVESUBPR,SICVEDEP,TICVESUBDE,SICVEPART,CCVETIPEJE,CCVECATEG,CNIVELDGP,NTOTHOR,MSDO,TICVETIPCO,SDFECINI,SDFECFIN,SICVENODO,SISTATUS,CUNIPAG,SICVEORGIN,TICVETIPMO,SINUMCAU,SICVELIC,VCDESARECO,VCNUMFOLDG,NPERPAG,SDFECREG,CPROCSIP,TICVECLASA,INUMFOL,SISERIAL,SICVEDEPNO,TICVESDNOD,INUMEMPREG
220471,105045,87013,3,1,5,418,2,153,0,M3000,00,0.0000,270.0000,0,01/05/2003,,1,68,N,0,1,65,0,,2003300076,200321,03/12/2003,,0,0,0,0,0,0
152555,131116,14618,1,0,10,418,1,151,,ET4400,53,32.0000,4690.0000,0,01/05/2003,,1,10,N,0,1,997,0,,2003531489,200313,02/07/2003,S,0,39766,3,723,0,0
152556,131116,56694,1,0,10,418,1,155,,ET4400,53,16.0000,2346.0000,0,01/05/2003,,1,10,N,0,1,997,0,,2003531489,200313,02/07/2003,S,0,39766,4,723,0,0
260468,141977,14593,1,0,1,418,1,151,,ET2900,52,32.5000,5819.8500,0,01/01/2010,,1,10,N,0,1,997,0,,2010500665,201007,27/03/2010,S,0,88912,3,723,0,0
260643,141977,70498,1,0,1,418,1,155,,ET2900,52,15.5000,2909.9300,0,01/01/2010,,1,10,N,0,1,997,0,,2010500665,201007,27/03/2010,S,0,88912,4,723,0,0
187537,801499,65029,1,0,20,418,1,151,,ET0600,52,32.0000,4144.0000,0,01/09/2003,,1,10,N,0,1,997,0,,2004537072,200404,18/02/2004,S,0,47393,2,723,0,0
288419,93861,34923,1,0,1,418,1,161,0,CF9800,05,32.0000,7192.2000,0,01/09/2010,,8,10,N,0,1,38,0,,2010073409,201020,15/10/2010,S,0,23460,2,418,0,0
288423,93861,48736,1,0,1,418,1,165,0,CF9800,05,16.0000,3596.1000,0,01/09/2010,,8,10,N,0,1,38,0,,2010073408,201020,15/10/2010,S,0,23528,2,418,0,0
272279,846084,14495,1,0,1,418,1,151,,AA0200,50,37.5000,3351.6900,0,26/01/2009,,1,10,N,0,1,62,0,,2009016867,200904,17/02/2009,S,0,80270,1,723,0,0
137368,80897,49898,3,1,4,418,2,121,,D6400,89,40.0000,8129.9600,0,16/02/1989,,0,1,N,0,1,0,0,,,0,,,0,0,0,0,0,0
